Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
G10	5	12	16	17	18	19	19	19	20	20	21	21	23	23	25	26	26	27	28	29	30	31	42	33	34	36	37	38	39	39	41	42	43	44	45	46	47	47	50	50	51
G11	5	12	15	17	18	18	19	19	20	20	20	21	22	24	24	25	26	28	28	29	30	32	41	33	34	35	36	37	38	39	41	42	43	44	44	46	46	46	50	48	50
G12	5	12	15	17	18	19	19	20	21	23	24	27	32	37	46	53	59	66	75	85	94	104	123	126	136	149	161	173	187	203	219	234	252	265	283	303	317	342	367	380	398
H1	5	12	15	16	17	18	18	18	18	18	18	18	18	19	18	18	18	18	17	18	17	17	27	17	18	18	17	17	17	17	18	18	18	18	18	18	18	17	18	19	19
H2	5	12	15	17	17	18	18	18	18	18	18	18	18	18	18	18	18	17	17	17	17	17	27	18	18	18	17	17	17	17	18	18	18	18	18	17	18	18	18	19	19
H3	5	12	15	17	18	18	18	18	18	18	18	18	19	18	18	18	18	18	17	17	17	17	27	18	18	17	18	17	18	17	18	18	18	18	18	18	18	18	18	18	19
H4	5	12	15	17	18	19	18	19	19	18	19	18	19	19	18	18	18	18	18	18	18	17	27	18	18	18	18	17	18	18	18	18	18	18	18	18	18	18	18	19	19
H5	5	12	15	17	18	18	18	19	18	18	18	18	19	19	19	18	18	18	18	18	18	18	27	18	19	19	20	20	23	27	32	40	48	56	63	74	85	98	112	125	139
H6	5	12	14	17	18	18	18	18	18	18	18	18	18	18	19	18	18	18	18	18	18	17	27	18	18	18	18	17	18	17	18	18	18	18	18	18	17	17	18	18	18
H7	5	12	15	17	17	18	18	18	18	18	18	18	19	19	18	18	18	18	18	18	18	18	27	18	19	18	17	17	18	18	18	18	18	18	18	18	17	17	18	18	18
H8	5	12	16	17	18	19	18	19	19	19	19	19	19	19	19	18	18	19	18	18	18	18	28	19	18	18	19	19	20	20	22	23	25	28	33	40	49	61	76	87	98
H9	5	12	16	17	18	19	19	20	20	20	20	21	21	21	21	21	20	21	21	21	22	23	33	27	32	41	51	60	70	83	97	112	126	140	154	170	183	200	220	241	264
H10	5	11	16	17	18	18	19	19	20	20	20	21	21	20	20	21	21	20	20	20	20	20	30	21	20	20	20	20	20	20	20	20	21	20	20	20	20	20	20	20	21
H11	5	12	15	18	18	19	19	19	20	20	21	21	20	21	20	20	20	20	20	20	20	20	29	20	21	20	20	20	20	20	20	20	21	20	20	20	20	20	21	20	20
H12	5	12	15	18	18	19	19	20	20	21	21	21	22	21	21	21	21	21	21	21	21	20	29	21	21	21	21	20	21	20	21	21	21	21	20	21	20	21	21	21	21
