Well	Strain	Hour	OD600_fit
B7	s245s	16	0.759616599183364
B7	s245s	17	0.784849050239337
B7	s245s	18	0.801570526818864
B7	s245s	19	0.812440993978068
B7	s245s	20	0.819419794919387
B8	s245s	1	0.00781268905460506
B8	s245s	2	0.0124881711349708
B8	s245s	3	0.0198935989434778
B8	s245s	4	0.0315201339112992
B8	s245s	5	0.0495238581343746
B8	s245s	6	0.0768159321318768
B8	s245s	7	0.116882550056068
B8	s245s	8	0.173017310505776
B8	s245s	9	0.246723425131236
B8	s245s	10	0.335672284394917
B8	s245s	11	0.432709222988383
B8	s245s	12	0.527576911983138
B8	s245s	13	0.610886199528012
B8	s245s	14	0.677425820405374
B8	s245s	15	0.726659452064509
B8	s245s	16	0.761065359660432
B8	s245s	17	0.784160356732523
B8	s245s	18	0.799246833129471
B8	s245s	19	0.808927459309196
B8	s245s	20	0.81506829479953
B9	s245s	1	0.00787591051017518
B9	s245s	2	0.0127334384240734
B9	s245s	3	0.0205118930672624
B9	s245s	4	0.0328503422843185
B9	s245s	5	0.0521311474542856
B9	s245s	6	0.0815665954829666
B9	s245s	7	0.124943733322005
B9	s245s	8	0.185646476100808
B9	s245s	9	0.264725853387493
B9	s245s	10	0.358662645762668
B9	s245s	11	0.458752737107357
B9	s245s	12	0.55377129257956
B9	s245s	13	0.634586615131341
B9	s245s	14	0.697140871419137
B9	s245s	15	0.74212023195834
B9	s245s	16	0.772776529534968
B9	s245s	17	0.792915886437332
B9	s245s	18	0.805828294282904
B9	s245s	19	0.813978453112907
B9	s245s	20	0.819071980873341
B10	s245s	1	0.00664218946378313
B10	s245s	2	0.0108930582255565
B10	s245s	3	0.0178055026614212
B10	s245s	4	0.0289492026630052
B10	s245s	5	0.046666099286657
B10	s245s	6	0.074219988132667
B10	s245s	7	0.115638550080326
B10	s245s	8	0.1748180692074
B10	s245s	9	0.253521737249138
B10	s245s	10	0.348770509673092
B10	s245s	11	0.451720086145473
B10	s245s	12	0.550246610099734
B10	s245s	13	0.63415160865043
B10	s245s	14	0.698789602671268
B10	s245s	15	0.744843996481628
B10	s245s	16	0.775862465242849
B10	s245s	17	0.79597018438029
B10	s245s	18	0.808683761682361
B10	s245s	19	0.81659581296816
B10	s245s	20	0.821471251862515
B11	s245s	1	0.00712651432617055
B11	s245s	2	0.0117187669217947
B11	s245s	3	0.0192031627304611
B11	s245s	4	0.0312901404615783
B11	s245s	5	0.0505248313386839
B11	s245s	6	0.0804283437486781
B11	s245s	7	0.125272917612667
B11	s245s	8	0.189016368215063
B11	s245s	9	0.273050783607719
B11	s245s	10	0.373480134038989
B11	s245s	11	0.480335802027335
B11	s245s	12	0.58085056492826
B11	s245s	13	0.665020125947022
B11	s245s	14	0.728904824477724
B11	s245s	15	0.773868808206579
