Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
C4	s245s	0.812025383902904	0.00979493061670103	1.49667112045565e-44	0.00548428907949036	0.000937108656355594	9.07623163091876e-07	0.463201187436919	0.0170715726224266	1.76727297583464e-26	0.021290070437153	38	10.7747292377242	1.49642790079061	7.50353902559465	7.3902500141412	""
C5	s245s	0.843498268018111	0.0106738748488681	9.14772229040385e-44	0.00561161750478847	0.000985423530749486	1.49381932783677e-06	0.459353758017549	0.0173915191528175	4.6728291082795e-26	0.0225911341052885	38	10.8980143055099	1.50896159759613	7.69310299652042	7.57204998657107	""
C6	s245s	0.825279250987744	0.0081979915024542	9.66088724679896e-48	0.00459284478873883	0.000728936543329405	2.20342674565882e-07	0.489389584232	0.0159336027517187	1.94270450581755e-28	0.0192119239026462	38	10.5961418594553	1.41635049639992	7.76822812718369	7.66540004685521	""
C7	s245s	0.830863025073704	0.0100430161339327	1.61902993140919e-44	0.00558638717516764	0.000924123003416795	4.93741079048164e-07	0.456640658675354	0.0163471199867409	6.15811676406368e-27	0.0210004985116488	38	10.9394241994583	1.51792699005529	7.54463948270243	7.43415005691349	""
C8	s245s	0.83582552355697	0.0101521871849672	1.94523989261021e-44	0.00582670920089551	0.000998269040552132	9.53294540893083e-07	0.462129203789576	0.0171905762773787	2.4705977058501e-26	0.0221645119011348	38	10.7307044224443	1.49989910803291	7.75963692939487	7.64462490752339	""
C9	s245s	0.830534460277202	0.00964285530533511	3.533431624275e-45	0.00455909237155021	0.0007700010995168	7.30902804869685e-07	0.470170920791747	0.0164224468223741	2.51995644159379e-27	0.0203509213142775	38	11.0586196632386	1.47424510940131	7.44258984657877	7.33747493848205	""
C10	s245s	0.829963723657344	0.00934389284186793	1.10213660840159e-45	0.0045405260659667	0.000785258097356695	1.13278764457666e-06	0.481088267798033	0.0170891352501547	4.64616431299377e-27	0.0209022249480652	38	10.8147583114051	1.44079003159341	7.63461306764953	7.52677501365542	""
C11	s245s	0.841415964224574	0.00770896953731633	4.51762554680793e-49	0.00450564470113582	0.000715045336241055	2.20027308852094e-07	0.508318766583993	0.0162906641658039	1.09029653931696e-28	0.0194574004846333	38	10.2777750386693	1.36360729944723	8.1833250696245	8.08202505856752	""
C12	s245s	0.843629764412662	0.00755795765411837	1.93275484912394e-49	0.00335243714961838	0.000622858788136874	4.00036150897311e-06	0.556495809191529	0.0194642545498664	2.6483816499056e-27	0.02126512824517	38	9.9264797846325	1.24555687412443	8.49784809839582	8.40032505057752	""
D1	s272	0.833644442086766	0.0121118855460868	1.68103646707244e-41	0.00555764788649331	0.0014719705196787	0.000546099286667952	0.522982835867072	0.0289821333292109	3.1291706156011e-20	0.0340007003148508	38	9.56808264606123	1.32537271402178	8.69264238484372	8.55582494661212	""
