AB19606,AB030,genes,STRING_names,gene_orthologs,unique_name,citation,gene_name,type,condition,medLFC,FDR,gene_name_stylized,Pathway
GO593_18605,IX87_06835,cyoD,cyoD,cyoD,cyoD,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-3.08689275379552,0.000724093728769733,italic('cyoD'),
GO593_18605,IX87_06835,cyoD,cyoD,cyoD,cyoD,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.363990339352804,0.999990727083818,italic('cyoD'),
GO593_18610,IX87_06840,cyoE,cyoE,cyoE,cyoE,"",cyoE,perfect,fosfomycin_T2_1 - none_T2_1a,-2.7005700155005,0.00235336411538871,italic('cyoE'),
GO593_18610,IX87_06840,cyoE,cyoE,cyoE,cyoE,"",cyoE,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.21741251594993,0.719397429382887,italic('cyoE'),
GO593_13525,IX87_04375,cysS,IX87_04375,cysS,cysS,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.503127113758366,0.999957904213717,italic('cysS'),tRNA Ligase
GO593_13525,IX87_04375,cysS,IX87_04375,cysS,cysS,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.104669928580845,0.999999999999995,italic('cysS'),tRNA Ligase
GO593_05915,IX87_14145,dapA,IX87_14145,dapA,dapA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-1.06776570432349,0.64385891410558,italic('dapA'),
GO593_05915,IX87_14145,dapA,IX87_14145,dapA,dapA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.156683928242816,0.999999999977404,italic('dapA'),
GO593_01845,IX87_09360,dapD,dapD,dapD,dapD,"",dapD,perfect,fosfomycin_T2_1 - none_T2_1a,-0.597348213524725,0.985953076855936,italic('dapD'),
GO593_01845,IX87_09360,dapD,dapD,dapD,dapD,"",dapD,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0311057984210506,1,italic('dapD'),
GO593_03060,IX87_10925,dapE,dapE,dapE,dapE,"",dapE,perfect,fosfomycin_T2_1 - none_T2_1a,-0.440517686692488,0.965277296371438,italic('dapE'),
GO593_03060,IX87_10925,dapE,dapE,dapE,dapE,"",dapE,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0353476262709615,1,italic('dapE'),
GO593_02140,IX87_09660,dapF,dapF,dapF,dapF,"",dapF,perfect,fosfomycin_T2_1 - none_T2_1a,-0.61983881171549,0.0384585997234817,italic('dapF'),
GO593_02140,IX87_09660,dapF,dapF,dapF,dapF,"",dapF,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.347725941502518,0.991810658496274,italic('dapF'),
GO593_05500,IX87_13700,"ddlB, ddlA",ddlB,"ddlB, ddlA",ddlB,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.650366997058451,0.92871214521055,italic('ddlB'),Cell Wall/PG
GO593_05500,IX87_13700,"ddlB, ddlA",ddlB,"ddlB, ddlA",ddlB,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.529967743057779,0.999967796230513,italic('ddlB'),Cell Wall/PG
GO593_07425,IX87_15415,"def1, def",IX87_15415,"def1, def",def,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,0.114095497911451,0.999919285934327,italic('def'),
GO593_07425,IX87_15415,"def1, def",IX87_15415,"def1, def",def,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0396554537536184,0.999999999999993,italic('def'),
GO593_09080,IX87_17130,der,der,der,der,"",der,perfect,fosfomycin_T2_1 - none_T2_1a,-0.683690903477432,0.703885327424074,italic('der'),
GO593_09080,IX87_17130,der,der,der,der,"",der,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0546025106393231,0.999999999990477,italic('der'),
GO593_01425,IX87_08950,desB,AIL78748.1,desB,desB,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,0.596564202887277,0.285547000947313,italic('desB'),
GO593_01425,IX87_08950,desB,AIL78748.1,desB,desB,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.165324583126543,0.995286609556124,italic('desB'),
GO593_03595,IX87_11520,"coaBC, dfp, coaC",coaBC,coaBC,dfp,"",coaBC,perfect,fosfomycin_T2_1 - none_T2_1a,-0.379521859564723,0.957371767633863,italic('dfp'),
